730	104.6	6.4	0.1	3.2
735	83.7	6.6	0.1	3.2
740	52.3	6.8	0.1	3.1
745	39.3	7.0	0.1	3.1
750	30.1	7.2	0.1	3.1
755	25.1	7.4	0.1	3.1
760	17.6	7.6	0.1	3.0
765	12.0	7.8	0.1	3.0
770	9.1	8.0	0.1	3.0
775	6.6	8.2	0.1	3.0
780	4.2	8.4	0.1	3.0
785	2.9	8.6	0.1	3.0
790	2.3	8.8	0.1	3.0
795	2.3	9.0	0.1	3.0
800	2.5	9.2	0.1	3.0
805	2.5	9.4	0.1	3.0
810	2.6	9.6	0.1	3.0
815	6.2	9.8	0.1	3.0
820	8.1	10.0	0.1	3.0
825	10.2	10.2	0.1	3.0
830	12.4	10.4	0.1	3.0
835	8.0	10.6	0.1	3.0
840	9.4	10.8	0.1	3.0
845	11.5	11.0	0.1	3.0
850	15.4	11.2	0.1	3.0
855	22.4	11.4	0.1	3.0
860	22.1	11.6	0.1	3.0
865	21.5	11.8	0.1	3.0
870	22.8	12.0	0.1	3.0
875	22.3	12.2	0.1	3.0
880	19.4	12.4	0.1	3.0
885	17.8	12.6	0.1	3.0
890	16.7	12.8	0.1	3.0
895	16.8	13.0	0.1	3.0
900	16.1	13.2	0.1	3.0
905	15.7	13.4	0.1	3.0
910	15.1	13.6	0.1	3.0
915	14.8	13.8	0.1	3.0
920	15.0	14.0	0.1	3.0
925	6.9	14.2	0.1	3.0
930	5.0	14.4	0.1	3.0
935	5.0	14.6	0.1	3.0
940	4.0	14.8	0.1	3.0
945	4.7	15.0	0.1	3.0
950	7.2	15.2	0.1	3.0
955	5.9	15.4	0.1	3.0
960	2.3	15.6	0.1	3.0
965	2.0	15.8	0.1	3.0
970	1.7	16.0	0.1	3.0
975	1.4	16.2	0.1	3.0
980	1.0	16.4	0.1	3.0
985	0.9	16.6	0.1	3.0
990	0.9	16.8	0.1	3.0
995	0.7	17.0	0.1	3.0
1000	0.8	17.2	0.1	3.0
